OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
416,RICHMOND SCHOOL,2944 BELGRADE ST,19134,ELEMENTARY SCHOOL,K-5,1,DISTRICT
417,"ROBESON, PAUL HIGH SCHOOL",4125 LUDLOW ST,19104,HIGH SCHOOL,9-12,1,DISTRICT
418,ROOSEVELT ELEMENTARY SCHOOL,430 E WASHINGTON LN,19144,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
419,"ROWEN, WILLIAM SCHOOL",6841 N 19TH ST,19126,ELEMENTARY SCHOOL,K-5,1,DISTRICT
420,ROXBOROUGH HIGH SCHOOL,6498 RIDGE AVE,19128,HIGH SCHOOL,9-12,1,DISTRICT
421,"SAUL, WALTER B. HIGH SCHOOL",7100 HENRY AVE,19128,HIGH SCHOOL,9-12,1,DISTRICT
422,"SAYRE, WILLIAM L. HIGH SCHOOL",5800 WALNUT ST,19139,HIGH SCHOOL,9-12,1,DISTRICT
423,SCIENCE LEADERSHIP ACADEMY AT BEEBER,5925 MALVERN AVE,19131,MIDDLE/HIGH,"5-6, 9-12",1,DISTRICT
424,SCIENCE LEADERSHIP ACADEMY,440 N BROAD ST,19130,HIGH SCHOOL,9-12,1,DISTRICT
425,SCIENCE LEADERSHIP ACADEMY MIDDLE SCHOOL,3600 MARKET ST,19104,MIDDLE SCHOOL,5-8,1,DISTRICT
426,"SHARSWOOD, GEORGE SCHOOL",2300 S 2ND ST,19148,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
427,SHAWMONT SCHOOL,535 SHAWMONT AVE,19128,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
428,"SHEPPARD, ISAAC A. SCHOOL",120 W CAMBRIA ST,19133,ELEMENTARY SCHOOL,K-4,1,DISTRICT
429,"SHERIDAN, PHILIP H. SCHOOL",800 E ONTARIO ST,19134,ELEMENTARY SCHOOL,K-4,1,DISTRICT
430,"SOLIS-COHEN, SOLOMON SCHOOL",7001 HORROCKS ST,19149,ELEMENTARY SCHOOL,K-5,1,DISTRICT
431,SOUTH PHILADELPHIA HIGH SCHOOL,2101 S BROAD ST,19148,HIGH SCHOOL,9-12,1,DISTRICT
432,SOUTHWARK SCHOOL,1835 S 9TH ST,19148,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
433,SPRING GARDEN SCHOOL,1146 MELON ST,19123,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
434,"SPRUANCE, GILBERT SCHOOL",6401 HORROCKS ST,19149,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
