OBJECTID,X,Y,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
636,-75.21357401993333,39.94897573871278,4520 Baltimore Ave,1.0,Basic,19143
637,-75.0880466448987,40.01477125132579,1500 Sellers St,1.0,Basic,19124
638,-75.2312148126322,39.976975871995684,5455 Lansdowne Ave,2.0,Basic,19131
639,-75.12701933211979,39.99361100194653,241 E Cambria St,1.0,Basic,19134
640,-75.16802098133051,39.916997125087576,2655 S Camac St,2.0,Basic,19148
641,-75.15845533364062,39.92918918305667,1600 S 8Th St,1.0,Basic,19148
642,-75.13986412837431,40.01100878212252,3900 N 7Th St,3.0,Enhanced,19140
643,-75.22876423136009,39.97116443522649,5401 W Girard Ave,2.0,Basic,19131
644,-75.03344915058467,40.037862362023226,4244 Chippendale St,2.0,Basic,19136
645,-75.1343236937475,40.001571743800376,230 West Wensley Street,2.0,Basic,19140
646,-75.2375141516702,39.97306723900715,5845 Master St,2.0,Basic,19131
647,-75.17043556403132,39.96632858844657,2000 Wallace St,3.0,Certification,19130
648,-75.16921760820506,40.026292348225226,5101 Wayne Ave,3.0,Enhanced,19144
649,-75.1677520126057,40.025497268254455,5007 Wayne Ave,1.0,Certification,19144
650,-75.17391606981069,40.02882905706064,5348 Wayne Ave,2.0,Basic,19144
651,-75.1216324015432,39.99564116261333,3061 D St,3.0,Enhanced,19134
652,-75.1683516060173,39.99989724585181,2964 N 23rd St,3.0,Enhanced,19132
653,-75.24486734280806,39.962005920645964,18 S 62nd St,3.0,Enhanced,19139
654,-75.1504989782887,39.93195721094505,349 Wharton St,2.0,Basic,19147
655,-75.15992654918956,39.914695087524095,2747 S 7th St,3.0,Enhanced,19148
656,-75.16033434054883,39.920628711759136,2300 S 8Th St,2.0,Basic,19148
657,-75.16651534414298,39.921416165161695,2301 S 12th St,3.0,Enhanced,19148
658,-75.16369633921919,40.04484406591787,5637 Chew Ave,3.0,Enhanced,19138
659,-75.16861974596206,39.995822934626545,2227 W Lehigh Ave,3.0,Enhanced,19132
660,-75.09054676137293,40.01423946897413,1362 Unity St,1.0,Basic,19124
661,-75.17867028093654,39.98261252448896,1754 N 27th St,2.0,Basic,19121
662,-75.17268733048118,39.97766617352931,2236 W Jefferson St,1.0,Basic,19121
663,-75.16480110119737,39.97043514494491,1700 Ridge Ave,2.0,Basic,19130
664,-75.17565998176165,39.99637321744664,2668 N 27th St,2.0,Basic,19132
665,-75.14378598909956,39.995689219937155,716 W Cambria St,2.0,Basic,19133
666,-75.02971614170728,40.032908022052716,7601 Torresdale Ave,3.0,Enhanced,19136
667,-75.23142333147939,39.98475798874735,1823 N 54th St,2.0,Basic,19131
668,-75.24256469830381,39.91366238012209,7333 Elmwood Ave,3.0,Enhanced,19142
669,-75.14655645600818,39.9758287447636,643 W Oxford Avenue,3.0,Enhanced,19122
